Factory Name;Factory Type;Product Type Type;Nike, Inc. Brand(s);Events;Supplier Group;Address;City;State;Postal Code;Country / Region;Region;Total Workers;Line Workers;% Female Workers;% Migrant Workers
RIETVELD SERIGRAFIE BV;FINISHED GOODS;Apparel;Nike;;RIETVELD;INDUSTRIEWEG 50  2382 NW;Zoeterwoude Rijndijk;Zuid-Holland;2382NW;Netherlands;EMEA;31;22;42;45
Ripon Athletic;FINISHED GOODS;Apparel;Nike;;RIPON;290 Junction St, P.O. BOX 25;Berlin;Wisconsin;54923;USA;AMERICAS;140;120;95;0
RJ Liebe Athletic Lettering Co.;FINISHED GOODS - COMPONENTS;Apparel;Nike;;RJ LIEBE ATHLETIC LETTERING;582 Goddard Ave;Chesterfield;Missouri;63005;USA;AMERICAS;22;10;60;0
Robinson Manufacturing Company, Dayton;FINISHED GOODS;Apparel;Nike;Collegiate;ROBINSON;1184 Broadway;Dayton;Tennessee;37321;USA;AMERICAS;58;53;77;0
Rollsport Vietnam Footwear Limited;FINISHED GOODS;Footwear;Nike;;HUALI;Hoang Long Industrial Zone;Thanh Hoa;Thanh Hóa;440000;Vietnam;SE ASIA;17400;15804;91;0
ROLLSPORT VIETNAM FOOTWEAR LIMTED;MATERIALS;Footwear;Nike;;GREAT ASCENT TRADING LIMITED;TAY HO VILLAGE ;Tho Xuan;Thanh Hóa;440000;Vietnam;SE ASIA;2305;2216;86;0
RS/Tupa Ind. De Plastico Ltda;FINISHED GOODS - COMPONENTS;Footwear;Nike;;RS TUPA INDUSTRIA DE PLASTICOS;Rua Ivo Johann, 10;Novo Hamburgo;Rio Grande do Sul;93546640;Brazil;AMERICAS;175;127;73;0
Sabrina Cambodia Garment Manufacturing;FINISHED GOODS;Apparel;Nike;Collegiate;SABRINA;National Rd;Samrong Torng District;Kampong Spueu;111111;Cambodia;SE ASIA;5887;4211;93;0
SADESA THAILAND (KABINBURI);MATERIALS;Footwear;Nike;;SADESA;139 2 MOO 5 SUWANASSORN ROAD TAMBON NONSRI;Kabinburi;Prachin Buri;25110;Thailand;SE ASIA;735;577;32;0
SADESA THAILAND Sena;MATERIALS;Footwear;Nike;;SADESA;89 Moo 11 Samkok sena Road;Ayutthaya;Phra Nakhon Si Ayu;13110;Thailand;SE ASIA;574;401;17;0
Saigon Daryar Plastic Co.,Ltd;FINISHED GOODS;Equipment;Nike;;SAIGON DARYAR;27C DT743 street;Di An;Bình Duong;590000;Vietnam;SE ASIA;346;323;83;0
SAMBU FINE CHEMICAL CO LTD (INDONESIA);MATERIALS;Footwear;Nike;;SAMBU FINE CHEMICAL;Jl Kenari Raya Blok G2 12B Delta Silicon V;Kabupaten Bekasi;Jawa Barat;17530;Indonesia;S ASIA;55;37;6;22
SAMBU FINE CHEMICAL CO LTD (KOREA);MATERIALS;Footwear;Nike;;SAMBU FINE CHEMICAL;167 SEOBU RO 1637 BEON GIL;Gyungnam;Gyeongsangnamdo;50888;South Korea;N ASIA;105;50;19;2
SAMBU FINE CHEMICAL CO LTD (VIETNAM);MATERIALS;Footwear;Nike;;SAMBU FINE CHEMICAL;Dong Xoai1 Industrial Park;Tan Thanh Commune Dong Xoai City;Bình Phuc;67108;Vietnam;SE ASIA;323;178;30;12
SAMIL TEXTILE CO LTD (Korea);MATERIALS;Footwear;Nike;;SAMIL;191 7  Noksansaneopjungro;Busan;Busan Gwangyeogsi;46753;South Korea;N ASIA;46;20;52;0
SAN FANG (TR1) (CHINA);MATERIALS;Footwear;Nike;;SAN FANG;YUE YUEN INDUSTRIAL PARK;DONGGUAN, GUANGDONG;Guangdong;511700;China;N ASIA;307;225;20;0
SAN FANG (TR1) (INDONESIA);MATERIALS;Footwear;Nike;;SAN FANG;JL MODERN INDUSTRI IV NO 10 12 16;Serang , Banten;Banten;42100;Indonesia;S ASIA;487;396;20;5
SAN FANG (TR1) (TAIWAN);MATERIALS;Footwear;Nike;;SAN FANG;NO 402 FENGREN ROAD;Kaohsiung;Kaohsiung;814;Taiwan;N ASIA;687;396;12;14
SAN FANG (TR1) (VIETNAM);MATERIALS;Footwear;Nike;;SAN FANG;LOT II4 MY XUAN A2 INDUSTRIAL PARK;PHU MY TOWN;Bà Ra - Vung Tàu;78707;Vietnam;SE ASIA;1182;960;20;2
TKG TAEKWANG VINA JOINT STOCK COMPANY-BRANCH 3;FINISHED GOODS - COMPONENTS;Footwear;Nike;;TAEKWANG;Nguyen Tri Phuong Street;Bien Hoa City;Ðng Nai;76000;Vietnam;SE ASIA;1536;1409;94;0
Sarno Display S.r.l.;FINISHED GOODS;Equipment;Nike;;GATTO;Via Galileo Galilei 30;Carnate;Lombardia;20866;Italy;EMEA;88;53;58;0
Sato knit Co., Ltd;FINISHED GOODS;Apparel;Nike;;SATO KNIT;2653 -1 Kitahama-machi;Amakusa-city;Kumamoto;863 0011;Japan;N ASIA;37;34;92;41
Scavi Hue Company;FINISHED GOODS;Apparel;Nike;;SCAVI;Phong Dien Industrial Zone;Phong Dien;Tha Thiên-Hu;530000;Vietnam;SE ASIA;5915;5379;77;0
SELF MAGLIERIA SRL;FINISHED GOODS;Apparel;Nike;;SELF MAGLIERIA;VIA RISORGIMENTO 48;Vertemate con Minoprio;Como;22070;Italy;EMEA;31;28;93;0
SeoHeung Co., Ltd. (3D Printer Center);MATERIALS;Footwear;Nike;;SEOHEUNG;87 JangnimBeonyeong ro;Busan;Busan Gwangyeogsi;49464;South Korea;N ASIA;61;2;0;0
Sewing Jonah;FINISHED GOODS;Apparel;Nike;;SEWING JONAH;11 71 8 Chome Chikami Minami Ku;Kumamoto -city;Kumamoto;861 4101;Japan;N ASIA;40;37;87;27
SEYANG CORPORATION VIETNAM;FINISHED GOODS;Apparel;Nike;;SEYANG;PLOT NO. 54, NHAT TAN INDUSTRIAL COMPLEX, NHAT TAN COMMUNE,;KIMBANG DISTRICT;Hà Nam;400000;Vietnam;SE ASIA;420;380;90;0
SFO Apparel Inc. (Sewing & Cutting);FINISHED GOODS;Apparel;Nike;;SFO APPAREL;41 Park Place;Brisbane;California;94005;USA;AMERICAS;59;50;90;0
Shaanxi White River Apparel CO., LTD.;FINISHED GOODS;Apparel;Nike;;SPORTS CITY;South of Lijiazhuo community;Weinan City;Shaanxi;715600;China;N ASIA;800;470;55;0
SHAHI EXPORTS PVT LTD UNIT 26;FINISHED GOODS;Apparel;Nike;Collegiate;SHAHI;Plot No 44 51 SY;Mandya;Karnataka;571428;India;S ASIA;5520;5270;84;0
SHAN BEEN JEOU INDUSTRIAL CO LTD (TAIWAN);MATERIALS;Footwear;Nike;;SHAN BEEN;NO 60 LANE 132 SHA TIAN ROAD SECTION 2 DA DU DISTRICT;Taichung;Taichung;43244;Taiwan;N ASIA;59;40;53;38
Shandong Yuanchenghe Garment Co.,Ltd;FINISHED GOODS;Apparel;Nike;Collegiate;FAR EASTERN;Huan cheng Science and Technology Park;Taian City;Shandong;271400;China;N ASIA;186;146;89;0
ShangGao Yisen Industry Co. Ltd.;FINISHED GOODS;Footwear;Nike;;POU CHEN;Youzidong Jingjiang Town ShangGao County YiChun City;YiChun;Jiangxi;336400;China;N ASIA;8068;6534;87;0
SHANGHAI YKK ZIPPER CO LTD (MINGHANG BRANCH);MATERIALS;Apparel;Nike;;YKK;No 468 Luchun Road;Shanghai;Shanghai;200245;China;N ASIA;2;1;1;100
SHANGHAI YKK ZIPPER CO LTD (NANHUI);MATERIALS;Apparel;Nike;;YKK;1258 FeiDu Road Nanhui District;Shanghai;Jiangsu;201306;China;N ASIA;2;1;1;100
Shao Yang County SteIIa Footwear LTD ;FINISHED GOODS;Footwear;Nike;Collegiate;STELLA;Inside the industrial park of Shao Yang County;Shaoyang;Hunan;422100;China;N ASIA;1148;1068;96;0
ShaoYang LianTai SQ HanShou Upper Facility;FINISHED GOODS - COMPONENTS;Footwear;Nike;Collegiate;STELLA;Hanshou Industrial Park, Taizimiao Town, HanShou County;Chande City;Hunan;415907;China;N ASIA;930;861;99;0
SHAOYANG STELLA FOOTWEAR COMPANY LIMITED;FINISHED GOODS;Footwear;Nike;Collegiate;STELLA;JIXIAN ROAD;SHAOYANG CITY;Hunan;422000;China;N ASIA;4586;4015;84;0
SHENZHEN PENGYIFA INDUSTRIAL CO, LTD;FINISHED GOODS;Apparel;Nike;;SHENZHEN PENGYIFA;2ND FLOOR BUILDING A B5 1ST INDUSTRIAL RD BAHUADONG;SHENZHEN GUANGMING DISTRICT;Guangdong;518107;China;N ASIA;46;19;43;0
Shinhan Ind Co., Ltd;MATERIALS;Apparel;Converse;;SHINHAN;86 sanseong no danwon gu;Ansan City;Gyeonggido;15437;South Korea;N ASIA;158;93;58;6
SHINTA WOOSUNG PT (INDONESIA);MATERIALS;Footwear;Nike;;SHINTA WOOSUNG;JL RAYA KOPO MAJA KM 1;Serang;Banten;42100;Indonesia;S ASIA;246;198;48;13
SHIXING TIAN HE GARMENTS CO. LTD.;FINISHED GOODS;Apparel;Nike;;WONG LUEN;XING SHENG INDUSTRIAL PARK JIANG KOU TOWN;SHAO GUANG;Guangdong;511100;China;N ASIA;117;90;87;7
Shoetown Footwear Co.,Ltd;FINISHED GOODS;Footwear;Nike;Collegiate;SHOETOWN;Bapian Village Xuanzhen Road;Qingyuan City;Guangdong;511800;China;N ASIA;11366;9284;89;0
Shoetown Hunan FOOTWEAR CO.,LTD;FINISHED GOODS;Footwear;Nike;Collegiate;SHOETOWN;Deng Ta Road, Qiyang Development Zone;YongZhou City;Hunan;426100;China;N ASIA;2536;2126;86;0
Shoetown JinTan;FINISHED GOODS;Footwear;Nike;;SHOETOWN;Da Wan Gang Village;Qingyuan City;Guangdong;511515;China;N ASIA;950;873;91;0
Shoetown Lei Zhou Footwear Co., Ltd;MATERIALS;Footwear;Nike;;SHOETOWN FOOTWEAR CO LTD;Lei Nan street;Zhan Jiang City;Guangdong;524200;China;N ASIA;300;269;96;0
Shoetown Quan Zhou Footwear Co., Ltd;MATERIALS;Footwear;Nike;;SHOETOWN FOOTWEAR CO LTD;No 3 FuPing Garden;Gui Lin City;Guangxi;541500;China;N ASIA;559;515;85;0
Sidney Apparels LLC;FINISHED GOODS;Apparel;Nike;;QUANG VIET;PLOT 909 and 910 Lot 25;Aqaba;AlAqaba;77110;Jordan;EMEA;1456;1270;53;90
SIGMA VIETNAM INDUSTRIAL CO.,LTD;FINISHED GOODS;Equipment;Nike;;SIGMA;AV AVI GIAO LONG INDUSTRIAL PARK II AN PHUOC COMMUNE ;BENTRE;Bn Tre;86000;Vietnam;SE ASIA;1158;1047;75;0
SIMONA TANNING INC (CHINA);MATERIALS;Footwear;Nike;;SIMONA TANNING;No 8 High Tech 1st Road Buchang Town HuanBaoCheng;Yangjiang;Guangdong;529500;China;N ASIA;621;507;35;0
SMS Konfeksiyon Sanayi ve Ticaret A.S;FINISHED GOODS;Apparel;Nike;;YESIM;Firat Mah 943;Agri;Agri;4200;Turkey;EMEA;645;600;36;0
SNP CO.,LTD.;FINISHED GOODS;Apparel;Nike;;SPORTS CITY;No 12 VSIP II Road;Thu Dau Mot City;Bình Duong;75000;Vietnam;SE ASIA;2780;2456;90;0
SON KHA COMPANY LIMITED;FINISHED GOODS;Apparel;Nike;Collegiate;SOUTH ISLAND;441D Pham Van Chieu Street Ward 14 Go Vap District;Ho Chi Minh;Ho Chi Minh;700000;Vietnam;SE ASIA;53;47;70;0
Song Hong - Nghia Hung Garment Joint Stock Company;FINISHED GOODS;Apparel;Nike;;SONG HONG NGHIA HUNG COMPANY;Group 12 Nghia Phong Town Nghia Hung District;Nam Dinh;Nam Ðnh;420000;Vietnam;SE ASIA;1976;1543;80;0
Song Hong Garment Factory- Factory 11,12,13,14;FINISHED GOODS;Apparel;Nike;;SONG HONG;Hai Phuong industrial zone Hai Hau district;Nam Dinh;Nam Ðnh;420000;Vietnam;SE ASIA;3466;1933;80;0
Song Hong Garment JSC - Factory 15.16.17.18;FINISHED GOODS;Apparel;Nike;;SONG HONG;Nghia Thai Industrial Zone Nghia Hung District;Nam Dinh/ Nam Dinh;Nam Ðnh;420000;Vietnam;SE ASIA;2020;1600;80;0
Song Lin Garment Sdn Bhd;FINISHED GOODS;Apparel;Nike;;RAMATEX;Lot 2552;Batu Pahat;Johor;83000;Malaysia;S ASIA;925;917;42;91
SongSen Garment Suzhou Ltd;FINISHED GOODS;Apparel;Nike;;RAMATEX;168 Liu Feng Road;Suzhou;Jiangsu;215124;China;N ASIA;619;585;80;0
South Island Garment Sdn. Bhd.;FINISHED GOODS;Apparel;Nike;Collegiate;SOUTH ISLAND;2468 Solok Perusahaan Dua;Perai;Pulau Pinang;13600;Malaysia;S ASIA;549;293;53;64
Southern Apparel Contractors S.A. The Arena;FINISHED GOODS;Apparel;Nike;;TEGRA;San Pedro Sula;San Pedro Sula;Cortés;1110;Honduras;AMERICAS;1438;1200;54;1
Sportek;FINISHED GOODS;Footwear;Nike;;DIAMANT;Milosa Oblica;Kotor Varos;Republika Srpska;78220;Bosnia;EMEA;1998;1835;71;0
STANWELL-EXPAN CO. LTD;FINISHED GOODS - COMPONENTS;Apparel;Nike;;STANWELL-EXPAN;No 8 Dinghu 9th St Gueishan;Taoyuan;Taoyuan;333;Taiwan;N ASIA;289;147;48;7
Staples Promotional Products;FINISHED GOODS;Apparel;Nike;Collegiate;STAPLES CONTRACT AND COMMERCIAL;1520 Albany Place SE;Orange City;Iowa;51041;USA;AMERICAS;240;232;81;0
Staples Promotional Products;FINISHED GOODS;Apparel;Nike;Collegiate;STAPLES CONTRACT AND COMMERCIAL;710 S Hwy 143;Marcus;Iowa;51035;USA;AMERICAS;67;62;85;0
Sterling Apparel Manufacturing L.L.C. Sahab;FINISHED GOODS;Apparel;Nike;;MAS HOLDINGS;Building D Altajamouat Industrial City;Sahab;Amman;11636;Jordan;EMEA;1609;1512;75;73
STRETCHLINE;MATERIALS;Apparel;Nike;;STRETCHLINE;Lot 89 Biyagama Export Processing Zone Walgama Malwana;Malwana;Gampaha;11670;Sri Lanka;S ASIA;2589;1584;12;0
Stretchline (Zhongshan) Limited;MATERIALS;Apparel;Nike;;STRETCHLINE;Industrial area;Zhongshan;Guangdong;528459;China;N ASIA;518;471;34;0
Styldea SRL;FINISHED GOODS;Footwear;Converse;;STYLDEA;VIA BUSTA  9 3 31030;Altivole;Treviso;31030;Italy;EMEA;12;9;91;0
Style Raiwind;FINISHED GOODS;Apparel;Nike;Collegiate;STYLE TEXTILE;8 Km Off Manga Raiwind Road;Kasur;Punjab;55140;Pakistan;S ASIA;13026;11291;18;0
Style Textile IV;FINISHED GOODS;Apparel;Nike;Collegiate;STYLE TEXTILE;25 km Multan Road;Lahore;Punjab;54500;Pakistan;S ASIA;3513;3214;17;0
Style Textile Pvt Ltd.;FINISHED GOODS;Apparel;Nike;;STYLE TEXTILE;126 by 3 Kot Lakhpat Industrial Estate;Lahore;Punjab;54770;Pakistan;S ASIA;3524;2715;17;0
Style Textile(Pvt.) Limited, (Manga);MATERIALS;Apparel;Nike;Collegiate;STYLE TEXTILE;Two and half Km off Manga Raiwind Road;Kasur/Lahore;Punjab;55150;Pakistan;S ASIA;9937;6157;1;0
SUMBER MASANDA JAYA, PT;FINISHED GOODS;Footwear;Nike;;PRATAMA;Jl Raya Bangsri ;Brebes;Jawa Tengah;52253;Indonesia;S ASIA;13407;12146;85;0
Suning County Zhongyuan Textile Co.,Ltd.;MATERIALS;Footwear;Converse;;HAIAN;Three kilometers South of the City Suning County;Cangzhou;Hebei;62350;China;N ASIA;42;37;60;0
SUNNY JET HOSIERY CO., LIMITED;FINISHED GOODS;Apparel;Nike;;SUNNY JET;NO 9 LONGQUAN ROAD GUANGLING INDUSTRY ZONE;YANGZHOU;Jiangsu;225003;China;N ASIA;233;163;85;0
Suqian Kelly Textile co.,ltd;FINISHED GOODS;Apparel;Nike;;SUQIAN KELLY;Guanmiao street Guanmiao town Suyu district;Suqian;Jiangsu;223800;China;N ASIA;133;119;88;0
Suzhou Blue Seagull Fashion Co., Ltd;FINISHED GOODS;Equipment;Nike;;SUZHOU BLUE SEAGULL FASHION;Liantang Industrial Concentration Zone Eastern District;Changshu ;Jiangsu;215551;China;N ASIA;48;38;30;0
TKG TAEKWANG CAN THO COMPANY LIMITED;FINISHED GOODS;Footwear;Nike;;TAEKWANG;Hung Phu 2B Industrial Park Phu Thu ward;Cai Rang;Can Tho;900000;Vietnam;SE ASIA;11672;9913;64;0
TKG TAEKWANG VINA JOINT STOCK COMPANY BRANCH 2;FINISHED GOODS;Footwear;Nike;;TAEKWANG;KCN Agtex Long Binh;Bien Hoa;Ðng Nai;70000;Vietnam;SE ASIA;8579;7930;88;0
TKG TAEKWANG VINA JOINT STOCK COMPANY-MY THO BRANCH;FINISHED GOODS - COMPONENTS;Footwear;Nike;;TAEKWANG;864 Street C group;My Tho;Tin Giang;860000;Vietnam;SE ASIA;5320;4761;94;0
TAEKWANG INDUSTRY CO., LTD.;FINISHED GOODS;Footwear;Nike;;TAEKWANG;258 9 AN DONG;GIMHAE;Gyeongsangnamdo;62120;South Korea;N ASIA;862;283;63;0
TAG TIME;MATERIALS;Apparel;Nike;;TAG TIME;No 1 Jin Fu Heng Road Hua Nan Industrial Area;Dongguan;Guangdong;523400;China;N ASIA;1;1;1;100
Tai Wah Garments Industry Sdn Bhd Kulai Jaya;FINISHED GOODS;Apparel;Nike;Collegiate;RAMATEX;G 15 2 Jalan Tan Yoke Fong;Johor Darul Takzim;Johor;81000;Malaysia;S ASIA;1399;1325;30;99
Taichung Shuihing Label Weaving Co., Ltd.;FINISHED GOODS - COMPONENTS;Apparel;Nike;;AVERY DENNISON;6 1 Gong 2nd Rd Dajia Taichung 43769 Taiwan ROC;Taichung;Taichung;43769;Taiwan;N ASIA;74;58;78;24
Taitat Putra Rejeki;FINISHED GOODS;Equipment;Converse;;TPR;JL. Industri No. 54 Citeureup Kab. Bogor;Bogor;Jakarta Raya;16110;Indonesia;S ASIA;66;50;75;2
TCS SRL;FINISHED GOODS;Apparel;Nike;;TCS;VIA REGINA TEODOLINDA 47;Como;Como;22100;Italy;EMEA;17;14;57;0
Team Edition Apparel;FINISHED GOODS;Apparel;Nike;;TEAM EDITION;4208 19th Street Court East;Bradenton;Florida;34208;USA;AMERICAS;165;141;66;0
TEIJIN CORDLEY LTD (TAIWAN OKAHATA CO LTD) (JAPAN);MATERIALS;Footwear;Nike;;TEIJIN CORDLEY;1 446 NAGAHISA NAGAHISA CHO OHDA;Shimane;Simane;693-0007;Japan;N ASIA;183;160;30;0
Texlan Center Private Limited;FINISHED GOODS;Equipment;Nike;;INTERLOOP;Weniwalgodalle Estate, Dagonna Road;Minuwangoda;Colombo;11550;Sri Lanka;S ASIA;1039;796;36;0
Textil H.J.Hering Ltda;FINISHED GOODS;Apparel;Nike;;TEXTIL H.J. HERING;Rua Rio de Janeiro 965  Bairro dos Estados;Indaial;Santa Catarina;89086-723;Brazil;AMERICAS;312;289;79;0
TEXTILES INTERNATIONAL OF EGYPT LTD.;FINISHED GOODS;Apparel;Nike;;TIE TEXTILES;PUBLIC FREE ZONE  NASR CITY;CAIRO;Ash Sharqiyah;11816;Egypt;EMEA;568;481;52;0
Textiles La Paz, L.L.C.;FINISHED GOODS;Apparel;Nike;;FUN TEES;Zona Franca El Pedregal;El Rosario La Paz;La Paz;n/a;El Salvador;AMERICAS;2923;2246;51;0
TEXTURERIAS, S.A. DE C.V.;FINISHED GOODS;Apparel;Nike;;TEXTURERIAS;MARIANO ABASOLO 206;Santiago Tianguistenco;Distrito Federal;52600;Mexico;AMERICAS;285;273;52;0
Thai Sock Co., Ltd.;FINISHED GOODS;Apparel;Nike;Collegiate;THAI SOCKS;29 1 Moo 4;Prapradaeng;Samut Prakan;10130;Thailand;SE ASIA;418;305;75;0
The Haddad Apparel Wuxi, Co., LTD;FINISHED GOODS;Apparel;Nike;;HADDAD;Floor 4 No 28 19 Nanhu Center Road;Wuxi;Jiangsu;214125;China;N ASIA;60;40;81;0
Thuan Phuong Embroideries Garments Co., Ltd.;FINISHED GOODS;Apparel;Nike;;THUAN PHUONG;275 Nguyen Van Luong St Dist 6 HCMC;Ho Chi Minh City;Ho Chi Minh;700000;Vietnam;SE ASIA;1355;1048;51;0
TIGAMARO SRL;FINISHED GOODS;Equipment;Nike;;TIGAMARO;Via Cristoforo Colombo 164;Macerata;Macerata;62029;Italy;EMEA;118;100;92;4
Ting Heng Co., Ltd;MATERIALS;Footwear;Converse;;TING HENG;Lot HA3 and HA4 and 01HA5 and 02HA5;Duc Hoa;Long An;850000;Vietnam;SE ASIA;190;150;30;5
Tiong Liong Vietnam Tronjen Industrial Co., Ltd. (Weaving & Lamination) ;MATERIALS;Footwear;Nike;;NAM LIONG;1111 Map DC8 4 Binh Chuan Production Zone;Thuan An Town;Bình Duong;820000;Vietnam;SE ASIA;170;60;0;0
FUQING TIONGLIONG XINYE SHOES MATERIAL CO LTD;MATERIALS;Footwear;Nike;;NAM LIONG;Hongkuan Industry Village;Fuqing City;Fujian;350323;China;N ASIA;122;70;19;0
TIONG LIONG-Tiong Liong Industrial Co., Ltd. (Lamination);MATERIALS;Footwear;Nike;;NAM LIONG;NO 8 Lane 758 SEC 3 ZHONGQING RD;Taichung City;Taichung;428;Taiwan;N ASIA;67;28;0;18
TKG ECO MATERIAL SYNTHETIC (TR1) (KOREA);FINISHED GOODS - COMPONENTS;Footwear;Nike;;TKG ECO MATERIAL;11 Noksansandan 382ro 49beongil Gangseogu;Busan;Busan Gwangyeogsi;46756;South Korea;N ASIA;247;137;6;0
TKG ECO MATERIAL SYNTHETIC (VIETNAM);MATERIALS;Footwear;Nike;;TKG ECO MATERIAL;Lot 45 18 02 Road N14 Phuoc Dong Industrial Park;Tay Ninh;Tây Ninh;840000;Vietnam;SE ASIA;502;390;27;0
TKG TAEKWANG VINA JOINT STOCK COMPANY;FINISHED GOODS;Footwear;Nike;;TAEKWANG;No 8 Road 9A;BIEN HOA;Ðng Nai;700000;Vietnam;SE ASIA;15098;11877;80;0
TKG TAEKWNG BINH PHUOC COMPANY LIMITED;MATERIALS;Footwear;Nike;;TAEKWANG;Lot E1 E2 Minh Hung Korea Industrial Park;Chon Than  Townlet ;Bình Phuc;83000;Vietnam;SE ASIA;1762;1548;77;0
TMI Vietnam Co., Ltd;FINISHED GOODS;Apparel;Nike;;TUNG MUNG;1365 1 National Road 1A An Phu Dong Ward District 12;Ho Chi Minh City;Ho Chi Minh;700000;Vietnam;SE ASIA;1619;1313;71;0
JDTEX INDUMENTARIA S.A.;FINISHED GOODS;Apparel;Converse;;JDTEX INDUMENTARIA SA;Juan Iribarne 960;Lujan;Buenos Aires;B6700;Argentina;AMERICAS;33;28;74;0
TONG HONG TANNERY CO LTD (CHINA);MATERIALS;Footwear;Nike;;TONG HONG;HEPU COUNTY;Bekasi;Guangxi;536000;China;N ASIA;1050;850;40;0
TONG HONG TANNERY CO LTD (VIETNAM);MATERIALS;Footwear;Nike;;TONG HONG;LOT NO II1 MY XUAN A2 INDUS MY XUAN WARD PHU MY CITY BRVT;PHU MY;Bà Ra - Vung Tàu;78000;Vietnam;SE ASIA;1260;1160;40;4
Top Summit Garment Inc;FINISHED GOODS;Apparel;Nike;Collegiate;SABRINA;National Rd No 4;Kandal;Kandaal;315000;Cambodia;SE ASIA;6000;4209;91;0
TORAY SAKAI CO. LTD.;MATERIALS;Apparel;Nike;;TORAY;301 Ruixing Road;Nantong;Jiangsu;226009;China;N ASIA;1500;1200;40;0
Toyama Sports Goods Co., Ltd.;FINISHED GOODS;Equipment;Nike;;TOYAMA SPORTS;345 Fukumitsu;Nanto;Toyama;939-1637;Japan;N ASIA;3;2;0;0
TRIMCO GROUP (HONG KONG) CO LTD;MATERIALS;Apparel;Nike;;TRIMCO GROUP;Flat G 8Floor City Industrial Complex;Kwai Chung;Guangdong;0;China;N ASIA;227;72;70;0
TRIMCO GROUP (ZHEJIANG) CO LTD;FINISHED GOODS - COMPONENTS;Apparel;Nike;;TRIMCO GROUP;No 236 Xin Lang Road;Yu Yao City;Zhejiang;315480;China;N ASIA;345;203;53;0
Trischel Fabric (PVT) Ltd;MATERIALS;Apparel;Nike;;MAS HOLDINGS;MAS Fabric Park  Kurunegala Road;Thulhiriya;Kurunegala;71610;Sri Lanka;S ASIA;1085;875;1;2
TTG Co. Ltd.;FINISHED GOODS;Apparel;Nike;Collegiate;SOUTH ISLAND;B1-4 Industrial Zone;Tien Giang;Long An;3937350;Vietnam;SE ASIA;58;41;42;0
TUNTEX SOC TRANG VIETNAM CO.LTD;FINISHED GOODS;Apparel;Nike;;TUNTEX; OT H, AN NGHIEP INDUSTRIAL ZONE, AN HIEP WARD;Soc Trang;Sóc Trang;95000;Vietnam;SE ASIA;1266;888;88;1
U.S. Embroidery, LLC;FINISHED GOODS;Apparel;Nike;;US EMBROIDERY;25999 SW Canyon Creek Rd;Wilsonville;Oregon;97070;USA;AMERICAS;20;19;79;0
UAB Haltex;FINISHED GOODS;Apparel;Nike;;UAB HALTEX;Audeju str;Alytus;Alytaus Apskritis;62175;Lithuania;EMEA;344;273;91;5
Unichela (Pvt)Ltd, Vidiyal Division;FINISHED GOODS;Apparel;Nike;;MAS HOLDINGS;Bharathipuram Road;Kilinochchi;Kilinochchi;44000;Sri Lanka;S ASIA;1935;1400;100;0
Unipax Co., Ltd;FINISHED GOODS;Apparel;Nike;Collegiate;HWASEUNG CROWN;Plot 1012 101 4 Amata Rd 3;Bien Hoa City;Ðng Nai;2513;Vietnam;SE ASIA;1800;1500;98;1
Unipax Vi Thanh C.,Ltd.;FINISHED GOODS;Apparel;Nike;Collegiate;HWASEUNG CROWN;Land plot No 19 Map sheet No 7;Vi Thanh ;Hu Giang;95000;Vietnam;SE ASIA;2530;2500;98;0
United Creation Optical Technology Co., Ltd;FINISHED GOODS;Equipment;Nike;;UNITED CREATION;D2 2 Mingde Road Glasses Industrial Park Yujiang District;Yingtan;Jiangxi;335200;China;N ASIA;273;219;100;0
United Sweethearts Garment (Vietnam) Co., Ltd.;FINISHED GOODS;Apparel;Nike;;UNITED SWEETHEART;Road 10 Nhon Trach I Industrial Zone;Dong Nai;Ðng Nai;810000;Vietnam;SE ASIA;2400;1803;85;0
Universal Sporting Goods (Thai) Co., Ltd.;FINISHED GOODS;Equipment;Nike;Collegiate;UNIVERSAL;91 Moo 1 Petchakasern Rd Soi Wattheintad T Banmai;samphan;Nakhon Pathom;73110;Thailand;SE ASIA;540;464;79;52
VEGA BALLS MANUFACTURING;FINISHED GOODS;Equipment;Nike;Collegiate;VEGA BALL;653 Mu4 Soi E6 Phatthana 1Road;Mueang Samut Prakan District;Samut Prakan;10280;Thailand;SE ASIA;371;355;75;0
VERTEX APPAREL 2022 CO.,LTD.;FINISHED GOODS;Apparel;Nike;Collegiate;HI TECH;18 Moo 2 Nonphueng;Ubonratchathani;Ubon Ratchathani;34190;Thailand;SE ASIA;1098;1056;74;13
Vertex One Apparel Phils., Inc.;FINISHED GOODS;Apparel;Nike;;Sports City;Crescent Road Lot 8 Block 4;Lapu Lapu City;Cebu;6015;Philippines;N ASIA;2151;1329;40;0
Vertical Knits S.A. de C.V.;FINISHED GOODS;Apparel;Nike;Collegiate;VERTICAL KNITS;CALLE 20 131 C X 27 Y 29;Baca;Yucatán;97450;Mexico;AMERICAS;2236;1218;53;0
Vertical Knits S.A. de C.V. (MDC - Tizimin);FINISHED GOODS;Apparel;Nike;Collegiate;VERTICAL KNITS;tablaje catastral 2669 SN CP 97702;Tizimin;Yucatán;97702;Mexico;AMERICAS;801;589;43;1
